"",""
"Action","Action"
"Add Not Viewed Product","Add Not Viewed Product"
"An error occurred while updating the not viewed products.","An error occurred while updating the not viewed products."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Is Viewed","Change Is Viewed"
"Change status","Change status"
"Could not find not viewed product to delete.","Could not find not viewed product to delete."
"Created at","Created at"
"Delete Not Viewed Product","Delete Not Viewed Product"
"Delete","Delete"
"Disabled","Disabled"
"Edit Not Viewed Product '%s'","Edit Not Viewed Product '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving not viewed product","Error saving not viewed product"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Is Viewed","Is Viewed"
"No","No"
"None","None"
"Not Viewed Product was saved","Not Viewed Product was saved"
"Not Viewed Product was successfully deleted.","Not Viewed Product was successfully deleted."
"Not Viewed Product was successfully saved","Not Viewed Product was successfully saved"
"Not Viewed Product","Not Viewed Product"
"Not Viewed Products","Not Viewed Products"
"Please select not viewed products to delete.","Please select not viewed products to delete."
"Please select not viewed products.","Please select not viewed products."
"Product","Product"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Not Viewed Product","Save Not Viewed Product"
"Status","Status"
"Store views","Store views"
"The not viewed products has been deleted.","The not viewed products has been deleted."
"There was a problem saving the not viewed product.","There was a problem saving the not viewed product."
"There was an error deleting not viewed product.","There was an error deleting not viewed product."
"There was an error deleting not viewed products.","There was an error deleting not viewed products."
"There was an error updating not viewed products.","There was an error updating not viewed products."
"This not viewed product no longer exists.","This not viewed product no longer exists."
"Total of %d not viewed products were successfully deleted.","Total of %d not viewed products were successfully deleted."
"Total of %d not viewed products were successfully updated.","Total of %d not viewed products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find not viewed product to save.","Unable to find not viewed product to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"